"GEO_ID","NAME","K202402_001E","K202402_001EA","K202402_001M","K202402_001MA","K202402_002E","K202402_002EA","K202402_002M","K202402_002MA","K202402_003E","K202402_003EA","K202402_003M","K202402_003MA","K202402_004E","K202402_004EA","K202402_004M","K202402_004MA","K202402_005E","K202402_005M","K202402_005MA","K202402_005EA","K202402_006E","K202402_006EA","K202402_006M","K202402_006MA","K202402_007E","K202402_007EA","K202402_007M","K202402_007MA","K202402_008E","K202402_008EA","K202402_008M","K202402_008MA","K202402_009E","K202402_009EA","K202402_009M","K202402_009MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Employee of private company workers","Annotation of Estimate!!Total:!!Employee of private company workers","Margin of Error!!Total:!!Employee of private company workers","Annotation of Margin of Error!!Total:!!Employee of private company workers","Estimate!!Total:!!Self-employed in own incorporated business workers","Annotation of Estimate!!Total:!!Self-employed in own incorporated business workers","Margin of Error!!Total:!!Self-employed in own incorporated business workers","Annotation of Margin of Error!!Total:!!Self-employed in own incorporated business workers","Estimate!!Total:!!Private not-for-profit wage and salary workers","Annotation of Estimate!!Total:!!Private not-for-profit wage and salary workers","Margin of Error!!Total:!!Private not-for-profit wage and salary workers","Annotation of Margin of Error!!Total:!!Private not-for-profit wage and salary workers","Estimate!!Total:!!Local government workers","Margin of Error!!Total:!!Local government workers","Annotation of Margin of Error!!Total:!!Local government workers","Annotation of Estimate!!Total:!!Local government workers","Estimate!!Total:!!State government workers","Annotation of Estimate!!Total:!!State government workers","Margin of Error!!Total:!!State government workers","Annotation of Margin of Error!!Total:!!State government workers","Estimate!!Total:!!Federal government workers","Annotation of Estimate!!Total:!!Federal government workers","Margin of Error!!Total:!!Federal government workers","Annotation of Margin of Error!!Total:!!Federal government workers","Estimate!!Total:!!Self-employed in own not incorporated business workers","Annotation of Estimate!!Total:!!Self-employed in own not incorporated business workers","Margin of Error!!Total:!!Self-employed in own not incorporated business workers","Annotation of Margin of Error!!Total:!!Self-employed in own not incorporated business workers","Estimate!!Total:!!Unpaid family workers","Annotation of Estimate!!Total:!!Unpaid family workers","Margin of Error!!Total:!!Unpaid family workers","Annotation of Margin of Error!!Total:!!Unpaid family workers",
"0500000US21021","Boyle County, Kentucky","12740","null","1131","null","8121","null","1071","null","209","null","185","null","1375","null","550","null","676","394","null","null","993","null","334","null","134","null","169","null","1232","null","556","null","0","null","208","null",
"0500000US21029","Bullitt County, Kentucky","41001","null","2223","null","30001","null","2172","null","1206","null","508","null","2749","null","1302","null","3662","1197","null","null","1076","null","602","null","547","null","297","null","1447","null","576","null","313","null","404","null",
"0500000US21035","Calloway County, Kentucky","18580","null","1434","null","12788","null","1561","null","858","null","442","null","621","null","381","null","1117","560","null","null","1731","null","618","null","229","null","169","null","1171","null","555","null","65","null","108","null",
"0500000US21037","Campbell County, Kentucky","48680","null","2123","null","34577","null","2210","null","1124","null","457","null","5865","null","1348","null","3121","996","null","null","1944","null","671","null","471","null","327","null","1578","null","536","null","0","null","208","null",
"0500000US21043","Carter County, Kentucky","7851","null","1376","null","4975","null","1199","null","181","null","192","null","401","null","291","null","828","443","null","null","731","null","560","null","290","null","248","null","445","null","293","null","0","null","208","null",
"0500000US21047","Christian County, Kentucky","21780","null","1823","null","15944","null","1799","null","376","null","282","null","1083","null","422","null","1493","725","null","null","674","null","445","null","847","null","483","null","1363","null","702","null","0","null","208","null",
"0500000US21049","Clark County, Kentucky","16701","null","1055","null","12334","null","1112","null","589","null","368","null","760","null","428","null","675","407","null","null","829","null","416","null","773","null","458","null","741","null","426","null","0","null","208","null",
"0500000US21051","Clay County, Kentucky","6074","null","1445","null","2700","null","1134","null","105","null","140","null","853","null","629","null","567","599","null","null","1083","null","812","null","184","null","294","null","582","null","498","null","0","null","208","null",
"0500000US21059","Daviess County, Kentucky","45920","null","2372","null","29958","null","2197","null","1873","null","718","null","4864","null","1112","null","3180","939","null","null","2403","null","1003","null","1516","null","816","null","2126","null","690","null","0","null","208","null",
"0500000US21067","Fayette County, Kentucky","167953","null","4156","null","106697","null","4178","null","5830","null","1421","null","16325","null","2430","null","9795","1721","null","null","15501","null","2384","null","3645","null","1053","null","9814","null","1821","null","346","null","291","null",
"0500000US21071","Floyd County, Kentucky","10675","null","1819","null","5775","null","1197","null","297","null","330","null","1456","null","692","null","1338","668","null","null","1326","null","684","null","252","null","332","null","231","null","177","null","0","null","208","null",
